xName,n_structures,shape,fill,stroke,size
TTBK2,2,circle,LimeGreen,LightGray,10.117647058823529
TTK,74,circle,LimeGreen,LightGray,18.588235294117645
TTN,3,circle,LimeGreen,LightGray,10.235294117647058
TYK2,26,circle,LimeGreen,LightGray,12.941176470588236
TYK2-b,16,circle,LimeGreen,LightGray,11.764705882352942
TYRO3,3,circle,LimeGreen,LightGray,10.235294117647058
Trb1,3,circle,LimeGreen,LightGray,10.235294117647058
ULK1,5,circle,LimeGreen,LightGray,10.470588235294118
ULK2,4,circle,LimeGreen,LightGray,10.352941176470589
ULK3,2,circle,LimeGreen,LightGray,10.117647058823529
ULK4,2,circle,LimeGreen,LightGray,10.117647058823529
VRK1,23,circle,LimeGreen,LightGray,12.588235294117647
VRK2,4,circle,LimeGreen,LightGray,10.352941176470589
VRK3,1,circle,LimeGreen,LightGray,10.0
Wee1,21,circle,LimeGreen,LightGray,12.352941176470589
Wee1B,1,circle,LimeGreen,LightGray,10.0
Wnk1,4,circle,LimeGreen,LightGray,10.352941176470589
Wnk3,6,circle,LimeGreen,LightGray,10.588235294117647
YANK1,1,circle,LimeGreen,LightGray,10.0
YSK1,2,circle,LimeGreen,LightGray,10.117647058823529
ZAK,4,circle,LimeGreen,LightGray,10.352941176470589
ZAP70,3,circle,LimeGreen,LightGray,10.235294117647058
p110a,56,circle,LimeGreen,LightGray,16.47058823529412
p110b,2,circle,LimeGreen,LightGray,10.117647058823529
p110d,71,circle,LimeGreen,LightGray,18.235294117647058
p110g,102,circle,LimeGreen,LightGray,21.88235294117647
p38a,360,circle,LimeGreen,LightGray,52.23529411764706
p38b,3,circle,LimeGreen,LightGray,10.235294117647058
p38d,7,circle,LimeGreen,LightGray,10.705882352941176
p38g,3,circle,LimeGreen,LightGray,10.235294117647058
p70S6K,18,circle,LimeGreen,LightGray,12.0
